"s001" "s002" "s003" "s005" "s006" "s007" "s008" "s009" "s011" "s012" "s014" "s015" "s017" "s018" "s019" "s020" "s021" "s022" "s023" "s024" "s025" "s027" "s028" "s029" "s030" "s032" "s033" "s034" "s036" "s037" "s040" "s041" "s042" "s044" "s046" "s047" "s049" "s050" "s053" "s054" "s055" "s056" "s072" "s077" "s083" "s085" "s086" "s087" "s088" "s089" "s091" "s093" "s094" "s097" "s098" "s099" "s100" "s103" "s104" "s105" "s106" "s107" "s108" "s109" "s110" "s111" "s112" "s115" "s116" "s119" "s120" "s122" "s123" "s125" "s126" "s128" "s129" "s130" "s132" "s133" "s134" "s135" "s137" "s138" "s140" "s151" "s162" "s166" "s168" "s169" "s170" "s171" "s172" "s173" "s174" "s175" "s176" "s177" "s178" "s179" "s182" "s183" "s184" "s185" "s187" "s188" "s189" "s190" "s192" "s193" "s196" "s197" "s198" "s199" "s201" "s202" "s204" "s205" "s207" "s208" "s209" "s210" "s211" "s214" "s215" "s216" "s218" "s219" "s220" "s221" "s225" "s227" "s228" "s229" "s230" "s231" "s232" "s233" "s234" "s236" "s240" "s241"
"cpd00027_cs" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00027_ferm" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cpd00028_cs" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cpd00028_ferm" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00029_cs" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00029_ferm" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00033_cs" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00033_ferm" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00035_cs" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00035_ferm" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
